survey_id,member_id,survey_date,nps_score,csat_score,effort_score,feedback_text,survey_type
S00000038,M00004381,2023-07-02,10,4,1,Quick and easy,annual
S00000039,M00002216,2024-11-29,7,3,5,"Great service, very helpful",annual
S00000040,M00008933,2023-01-12,8,3,4,,periodic
S00000041,M00004588,2023-08-16,8,5,3,,post_call
S00000042,M00000578,2023-11-06,1,1,3,Could not find what I needed online,periodic
S00000043,M00005348,2024-11-18,1,4,5,Agent was knowledgeable,post_call
S00000044,M00008013,2023-09-20,0,2,3,,post_call
S00000045,M00009780,2023-03-14,6,1,5,Billing is unclear,post_call
S00000046,M00000833,2023-08-30,5,4,2,Could not find what I needed online,post_call
S00000047,M00009915,2024-11-09,3,5,5,Had to call multiple times,periodic
S00000048,M00008537,2023-05-19,4,5,1,Very satisfied with my plan,annual
S00000049,M00009638,2023-08-05,5,4,6,Process is too complicated,post_digital
S00000050,M00002815,2023-09-14,5,4,4,"Great service, very helpful",periodic
S00000051,M00007916,2024-12-13,3,4,4,Could not find what I needed online,periodic
S00000052,M00005376,2024-11-21,10,3,3,,post_digital
S00000053,M00000841,2023-02-07,3,5,5,Had to call multiple times,post_call
S00000054,M00006704,2024-05-15,6,3,1,Agent was knowledgeable,post_digital
S00000055,M00004117,2024-01-24,2,4,2,,post_call
S00000056,M00005993,2023-01-28,3,4,2,Process is too complicated,post_call
S00000057,M00001523,2023-05-26,7,5,4,Too long wait time,annual
S00000058,M00000965,2024-04-16,10,5,1,,post_digital
S00000059,M00008127,2024-07-23,9,3,2,Agent was knowledgeable,periodic
S00000060,M00003241,2023-03-23,8,5,3,,post_digital
S00000061,M00001973,2024-07-08,3,4,2,,post_digital
S00000062,M00009780,2024-05-01,5,2,3,Website is confusing,post_call
S00000063,M00006033,2023-01-27,8,4,4,,periodic
S00000064,M00009333,2023-03-31,8,5,2,,post_call
S00000065,M00001779,2024-03-06,3,4,5,Quick and easy,post_digital
S00000066,M00006275,2023-04-14,9,4,4,"Great service, very helpful",annual
S00000067,M00009338,2024-09-06,7,2,3,,post_call
S00000068,M00009603,2024-12-06,8,4,3,,periodic
S00000069,M00004498,2024-02-22,7,5,3,,post_call
S00000070,M00000620,2023-04-06,8,4,3,Could not find what I needed online,post_call
S00000071,M00006169,2023-08-06,6,2,3,"Great service, very helpful",post_call
S00000072,M00005094,2023-02-28,6,4,3,Could not find what I needed online,annual
S00000073,M00003191,2024-07-05,4,5,2,"Great service, very helpful",post_call
S00000074,M00009212,2024-03-25,2,4,2,Billing is unclear,post_call
S00000075,M00006343,2023-08-09,10,3,4,Too long wait time,post_call
S00000076,M00001882,2024-01-08,10,1,4,"Great service, very helpful",annual
S00000077,M00009591,2024-12-26,8,3,2,,post_call
S00000078,M00001580,2024-03-19,2,2,6,Could not find what I needed online,post_digital
S00000079,M00008193,2024-09-14,6,3,2,,post_digital
S00000080,M00003308,2023-10-14,9,4,4,Agent was knowledgeable,post_call
S00000081,M00001827,2024-11-03,6,3,2,Agent was knowledgeable,post_digital
S00000082,M00000438,2024-11-24,6,5,2,,post_digital
S00000083,M00009574,2023-10-23,6,4,1,"Great service, very helpful",post_digital
S00000084,M00009564,2024-04-15,8,2,2,Could not find what I needed online,post_digital
S00000085,M00001608,2023-05-06,9,5,3,Website is confusing,periodic
S00000086,M00007079,2023-05-19,6,4,6,Billing is unclear,periodic
S00000087,M00001553,2024-02-26,9,4,1,,post_digital
S00000088,M00004927,2023-08-28,9,4,1,Could not find what I needed online,post_call
S00000089,M00006296,2023-04-16,0,4,3,,post_call
S00000090,M00000988,2024-09-22,7,5,3,Agent was knowledgeable,annual
S00000091,M00006370,2023-01-28,0,1,3,Could not find what I needed online,post_digital
S00000092,M00006455,2024-08-26,2,4,4,,periodic
S00000093,M00000417,2024-02-25,4,4,6,,post_call
S00000094,M00002798,2024-06-15,9,5,4,Process is too complicated,post_call
S00000095,M00008834,2024-09-24,6,3,5,Billing is unclear,annual
S00000096,M00002522,2024-02-09,4,3,2,,post_call
S00000097,M00009237,2023-01-19,4,5,7,,annual
S00000098,M00006207,2024-09-20,9,3,4,,post_call
S00000099,M00009738,2023-10-10,5,1,3,Had to call multiple times,periodic
S00000100,M00009300,2024-03-04,9,3,5,,periodic
S00000101,M00008313,2023-01-16,8,4,1,Could not find what I needed online,post_digital
S00000102,M00008504,2023-07-03,1,4,4,Website is confusing,post_call
S00000103,M00004085,2023-07-13,5,4,1,"Great service, very helpful",periodic
S00000104,M00008557,2023-12-28,5,5,6,,post_call
S00000105,M00008463,2024-01-28,8,4,4,Website is confusing,post_digital
S00000106,M00002408,2024-11-06,2,2,3,Website is confusing,post_call
S00000107,M00007222,2024-07-19,5,2,4,Process is too complicated,periodic
S00000108,M00007394,2024-09-14,7,4,3,Could not find what I needed online,periodic
S00000109,M00001397,2023-08-10,10,5,3,,post_call
S00000110,M00002428,2024-04-29,7,3,2,,post_digital
S00000111,M00008508,2023-12-12,9,1,5,Agent was knowledgeable,post_call
S00000112,M00008773,2024-01-19,8,4,3,,periodic
S00000113,M00005068,2024-11-02,2,4,7,Had to call multiple times,post_digital
S00000114,M00004377,2024-04-20,7,2,3,Could not find what I needed online,post_call
S00000115,M00004354,2023-04-08,9,4,1,,post_digital
S00000116,M00007075,2024-06-18,8,5,5,Had to call multiple times,post_call
S00000117,M00009736,2023-07-30,9,2,6,Process is too complicated,post_call
S00000118,M00004773,2023-12-08,6,4,3,Too long wait time,post_call
S00000119,M00004937,2023-11-09,6,4,3,Too long wait time,post_call
S00000120,M00005387,2023-04-17,8,3,3,Quick and easy,post_digital
S00000121,M00008327,2023-08-16,6,3,3,Billing is unclear,periodic
S00000122,M00001310,2023-10-16,7,3,3,Very satisfied with my plan,periodic
S00000123,M00003893,2024-01-07,9,1,3,Process is too complicated,periodic
S00000124,M00007973,2024-05-11,10,3,4,,post_call
S00000125,M00001221,2024-07-19,4,3,1,Billing is unclear,annual
S00000126,M00007353,2023-11-06,6,2,5,Process is too complicated,periodic
S00000127,M00002092,2024-02-19,6,5,2,Quick and easy,post_call
S00000128,M00004850,2023-07-27,8,4,2,,post_call
S00000129,M00002849,2024-06-08,5,4,7,Process is too complicated,post_call
S00000130,M00007443,2024-03-29,7,5,3,Billing is unclear,post_call
S00000131,M00005672,2023-12-16,3,4,1,"Great service, very helpful",post_digital
S00000132,M00004167,2023-08-15,3,4,3,Quick and easy,post_call
S00000133,M00001741,2023-01-23,2,2,1,,post_call
S00000134,M00001098,2024-09-18,1,4,2,Quick and easy,post_call
S00000135,M00009026,2024-07-30,5,4,4,Too long wait time,post_call
S00000136,M00003330,2023-06-28,10,5,3,"Great service, very helpful",post_digital
S00000137,M00006549,2023-12-01,4,5,3,,periodic
S00000138,M00001728,2024-10-25,5,5,1,Agent was knowledgeable,post_digital
S00000139,M00000603,2024-01-17,10,5,3,Quick and easy,post_call
S00000140,M00000773,2023-10-06,9,4,1,Agent was knowledgeable,periodic
S00000141,M00004843,2024-08-15,2,4,7,Too long wait time,annual
S00000142,M00005288,2023-04-01,7,3,2,Very satisfied with my plan,post_digital
S00000143,M00004261,2023-08-21,9,5,2,,periodic
S00000144,M00006938,2023-06-20,6,4,4,Agent was knowledgeable,post_digital
S00000145,M00003594,2024-08-22,8,3,3,Billing is unclear,post_call
S00000146,M00004574,2024-09-24,0,4,3,Had to call multiple times,post_digital
S00000147,M00009901,2024-01-04,6,2,3,,post_call
S00000148,M00001901,2023-10-19,6,2,5,Very satisfied with my plan,post_call
S00000149,M00006501,2023-01-28,0,3,4,Agent was knowledgeable,periodic
S00000150,M00001254,2023-05-17,7,4,3,,periodic
S00000151,M00006985,2024-01-14,10,5,3,Had to call multiple times,post_call
S00000152,M00007434,2023-04-17,3,5,1,Billing is unclear,post_call
S00000153,M00004639,2024-06-11,8,4,3,"Great service, very helpful",annual
S00000154,M00003832,2023-07-04,9,5,5,Too long wait time,post_call
S00000155,M00008943,2023-06-14,7,3,3,,periodic
S00000156,M00001492,2023-12-15,9,4,5,,post_call
S00000157,M00006610,2024-12-18,1,3,2,Process is too complicated,post_call
S00000158,M00006884,2023-09-03,2,5,4,,post_call
S00000159,M00006392,2024-03-13,0,5,4,Quick and easy,annual
S00000160,M00004330,2024-11-11,8,3,4,Could not find what I needed online,annual
S00000161,M00004101,2024-06-02,5,4,1,Too long wait time,post_call
S00000162,M00005487,2023-10-02,7,2,3,Could not find what I needed online,post_digital
S00000163,M00008830,2023-08-27,4,4,4,Billing is unclear,periodic
S00000164,M00008611,2023-10-09,4,5,2,,post_digital
S00000165,M00004457,2023-04-26,8,4,5,,post_digital
S00000166,M00005264,2023-11-23,7,3,6,,periodic
S00000167,M00005258,2023-09-13,7,4,4,"Great service, very helpful",post_digital
S00000168,M00005495,2023-05-18,5,4,1,Had to call multiple times,post_call
S00000169,M00003690,2024-09-03,8,3,4,"Great service, very helpful",post_digital
S00000170,M00002306,2024-09-10,6,5,2,,post_call
S00000171,M00009038,2023-11-01,1,5,3,Agent was knowledgeable,post_call
S00000172,M00002511,2024-08-29,2,2,2,Agent was knowledgeable,post_digital
S00000173,M00001914,2023-08-15,5,3,4,"Great service, very helpful",periodic
S00000174,M00004828,2024-08-23,7,5,2,Agent was knowledgeable,periodic
S00000175,M00007649,2024-09-12,2,4,4,Very satisfied with my plan,post_call
S00000176,M00009102,2023-09-01,6,3,2,Quick and easy,post_digital
S00000177,M00005772,2023-04-23,9,3,6,Had to call multiple times,post_call
S00000178,M00001036,2023-04-25,7,4,4,Website is confusing,post_call
S00000179,M00009042,2024-02-03,9,3,3,,post_call
S00000180,M00006486,2024-08-08,9,3,2,Agent was knowledgeable,periodic
S00000181,M00004426,2024-02-29,5,3,4,"Great service, very helpful",post_digital
S00000182,M00000133,2024-04-28,9,4,2,,post_digital
S00000183,M00009861,2023-08-13,5,3,3,,post_digital
S00000184,M00004187,2024-03-31,6,2,3,Billing is unclear,post_digital
S00000185,M00008434,2024-06-16,1,4,1,Had to call multiple times,post_digital
S00000186,M00002404,2024-01-13,2,3,5,Billing is unclear,post_call
S00000187,M00006797,2024-01-18,1,3,4,Could not find what I needed online,post_call
S00000188,M00009664,2023-06-29,8,5,1,Could not find what I needed online,post_call
S00000189,M00003245,2023-12-11,5,4,4,Too long wait time,post_call
S00000190,M00009576,2024-10-19,8,4,2,,post_call
S00000191,M00008740,2024-07-03,6,3,2,Agent was knowledgeable,post_digital
S00000192,M00000160,2023-01-31,9,3,3,,post_digital
S00000193,M00008294,2023-08-31,4,3,1,"Great service, very helpful",periodic
S00000194,M00003985,2024-03-28,9,1,2,,periodic
S00000195,M00005317,2024-07-15,0,4,1,,post_digital
S00000196,M00006777,2024-06-11,5,3,3,Agent was knowledgeable,post_call
S00000197,M00001813,2023-07-02,8,3,1,,post_digital
S00000198,M00003230,2023-11-26,8,5,3,Had to call multiple times,post_digital
S00000199,M00007211,2023-04-24,6,2,6,Billing is unclear,post_digital
S00000200,M00007265,2024-03-19,0,5,1,Had to call multiple times,post_call
S00000201,M00007806,2023-07-06,7,3,4,Had to call multiple times,post_call
S00000202,M00007846,2024-03-05,2,5,6,Had to call multiple times,periodic
S00000203,M00008777,2024-09-01,8,3,5,,post_call
S00000204,M00003643,2023-09-27,5,5,3,Website is confusing,post_digital
S00000205,M00004611,2024-01-16,9,4,2,,post_call
S00000206,M00008650,2024-07-25,2,2,3,Very satisfied with my plan,post_call
S00000207,M00003131,2023-10-11,9,4,3,,post_digital
S00000208,M00005430,2024-05-03,8,3,1,Very satisfied with my plan,periodic
S00000209,M00004693,2023-10-25,0,3,6,Too long wait time,post_call
S00000210,M00005448,2023-09-09,9,4,2,,periodic
S00000211,M00004463,2024-02-04,2,5,3,,periodic
S00000212,M00009088,2024-08-25,6,5,1,"Great service, very helpful",periodic
S00000213,M00005056,2023-10-14,7,4,3,,periodic
S00000214,M00003535,2024-12-02,6,4,2,Too long wait time,post_call
S00000215,M00000336,2024-09-27,9,5,3,Could not find what I needed online,post_digital
S00000216,M00005285,2024-05-18,10,4,5,,post_call
S00000217,M00000265,2024-02-29,10,5,1,Agent was knowledgeable,post_call
S00000218,M00009100,2024-08-26,8,3,3,Process is too complicated,periodic
S00000219,M00001734,2023-03-12,6,3,2,Process is too complicated,post_call
S00000220,M00008425,2023-11-11,0,5,4,Had to call multiple times,post_call
S00000221,M00004832,2023-01-06,2,3,3,Billing is unclear,periodic
S00000222,M00009775,2023-03-19,8,3,4,Quick and easy,annual
S00000223,M00007293,2023-02-17,10,1,2,Process is too complicated,post_digital
S00000224,M00008038,2023-01-22,8,5,2,Billing is unclear,post_digital
S00000225,M00002302,2023-07-21,7,4,2,"Great service, very helpful",post_digital
S00000226,M00002939,2023-07-12,7,3,3,Too long wait time,post_call
S00000227,M00003662,2024-07-19,9,3,6,,periodic
S00000228,M00007477,2023-11-14,4,5,1,Billing is unclear,periodic
S00000229,M00008408,2024-11-20,10,4,2,"Great service, very helpful",post_call
S00000230,M00007600,2023-09-02,9,2,2,Had to call multiple times,post_digital
S00000231,M00001655,2023-10-21,4,4,5,"Great service, very helpful",post_digital
S00000232,M00009866,2023-01-02,9,4,3,,post_digital
S00000233,M00006191,2024-10-13,8,4,3,Very satisfied with my plan,annual
S00000234,M00009153,2023-04-11,9,4,3,,post_digital
S00000235,M00006816,2023-07-24,1,3,4,,post_call
S00000236,M00000042,2024-07-21,2,3,2,Agent was knowledgeable,annual
S00000237,M00005005,2023-09-14,8,1,2,Agent was knowledgeable,post_call
S00000238,M00007923,2023-09-12,6,4,3,Very satisfied with my plan,post_call
S00000239,M00007356,2023-03-15,8,4,2,,post_call
S00000240,M00004836,2023-05-17,9,4,4,,post_digital
S00000241,M00004931,2024-06-22,4,2,4,Very satisfied with my plan,post_digital
S00000242,M00005034,2023-06-15,9,5,2,Website is confusing,annual
S00000243,M00007478,2023-11-11,9,3,2,,post_call
S00000244,M00005813,2023-03-31,8,3,3,,post_call
S00000245,M00001697,2023-07-09,7,4,4,Very satisfied with my plan,post_digital
S00000246,M00002949,2023-01-12,6,1,4,Could not find what I needed online,post_call
S00000247,M00005801,2023-05-04,6,5,4,Quick and easy,post_call
S00000248,M00004983,2024-08-15,7,4,3,,post_call
S00000249,M00008418,2024-04-06,5,4,4,,periodic
S00000250,M00009256,2023-02-15,1,2,2,,annual
S00000251,M00003346,2024-02-01,5,5,3,Agent was knowledgeable,periodic
S00000252,M00002430,2024-08-26,6,2,4,Quick and easy,post_call
S00000253,M00001806,2024-03-07,7,3,3,Too long wait time,post_call
S00000254,M00006553,2024-11-28,1,2,2,"Great service, very helpful",periodic
S00000255,M00004351,2023-09-04,8,4,6,Could not find what I needed online,post_call
S00000256,M00005266,2023-11-12,6,3,1,Website is confusing,periodic
S00000257,M00002477,2023-06-10,1,4,7,Billing is unclear,annual
S00000258,M00000160,2023-03-30,8,4,1,Too long wait time,post_call
S00000259,M00000556,2023-12-30,7,4,2,,post_digital
S00000260,M00006782,2024-04-09,8,5,6,Website is confusing,post_call
S00000261,M00006804,2023-05-05,6,5,2,Had to call multiple times,periodic
S00000262,M00001964,2023-01-04,10,1,4,Quick and easy,periodic
S00000263,M00005387,2023-02-21,5,4,4,,post_digital
S00000264,M00005950,2024-05-23,4,5,3,Very satisfied with my plan,post_digital
S00000265,M00002761,2024-07-04,8,4,1,Very satisfied with my plan,annual
S00000266,M00006886,2023-12-02,10,4,2,Billing is unclear,post_digital
S00000267,M00005754,2024-09-15,8,5,2,"Great service, very helpful",post_digital
S00000268,M00002737,2023-11-26,9,5,3,Very satisfied with my plan,post_digital
S00000269,M00003123,2024-04-30,3,1,2,,annual
S00000270,M00002037,2023-11-15,8,5,4,"Great service, very helpful",post_call
S00000271,M00003308,2024-09-14,4,1,2,Process is too complicated,periodic
S00000272,M00007809,2024-03-14,7,3,3,,post_digital
S00000273,M00000114,2024-01-31,0,2,2,Agent was knowledgeable,post_call
S00000274,M00006895,2024-10-30,7,2,3,Very satisfied with my plan,post_call
S00000275,M00005676,2023-05-23,8,3,3,,periodic
S00000276,M00002981,2024-03-18,0,1,2,,post_digital
S00000277,M00000349,2023-05-07,9,4,1,Process is too complicated,post_call
S00000278,M00005504,2024-11-25,5,3,7,"Great service, very helpful",post_call
S00000279,M00002948,2024-05-16,7,3,2,,annual
S00000280,M00001364,2023-10-26,4,5,2,Website is confusing,post_digital
S00000281,M00000011,2023-05-17,5,4,1,Very satisfied with my plan,periodic
S00000282,M00002146,2024-08-27,3,3,6,Very satisfied with my plan,post_call
S00000283,M00008069,2024-08-02,7,3,3,Could not find what I needed online,post_digital
S00000284,M00007116,2024-11-25,3,3,5,,post_call
S00000285,M00006182,2024-07-23,4,2,5,Process is too complicated,post_digital
S00000286,M00006243,2024-10-21,5,3,4,Website is confusing,post_call
S00000287,M00006716,2024-06-20,7,5,3,,post_call
S00000288,M00004613,2024-01-24,8,4,1,Quick and easy,periodic
S00000289,M00001456,2023-07-18,7,3,2,,annual
S00000290,M00005516,2024-06-01,8,4,2,Quick and easy,post_call
S00000291,M00008860,2024-09-04,7,3,2,,post_digital
S00000292,M00006457,2024-10-28,1,4,2,Very satisfied with my plan,periodic
S00000293,M00000309,2023-06-16,6,3,5,,periodic
S00000294,M00009271,2023-07-22,6,3,3,Quick and easy,post_call
S00000295,M00009542,2024-12-20,10,4,3,,post_digital
S00000296,M00005367,2024-03-28,7,4,2,"Great service, very helpful",periodic
S00000297,M00006780,2023-10-30,10,3,2,,periodic
S00000298,M00008803,2024-08-28,8,5,2,Very satisfied with my plan,post_call
S00000299,M00004618,2024-01-01,4,5,5,Very satisfied with my plan,post_call
S00000300,M00000999,2023-02-26,10,4,3,Had to call multiple times,annual
S00000301,M00008275,2023-08-24,9,2,7,Process is too complicated,post_call
S00000302,M00002753,2023-09-13,7,4,5,,post_call
S00000303,M00001235,2023-07-04,9,4,4,"Great service, very helpful",periodic
S00000304,M00007361,2024-10-06,1,4,3,,post_call
S00000305,M00003214,2023-09-07,0,4,7,Quick and easy,post_digital
S00000306,M00005741,2023-07-18,8,2,3,,annual
S00000307,M00007411,2024-12-13,4,4,4,Very satisfied with my plan,post_call
S00000308,M00002648,2024-01-17,5,3,5,Agent was knowledgeable,post_call
S00000309,M00007144,2024-03-31,8,4,4,"Great service, very helpful",post_call
S00000310,M00001310,2024-12-29,10,4,4,,periodic
S00000311,M00002285,2024-01-19,3,5,6,Quick and easy,post_digital
S00000312,M00007203,2023-05-03,2,5,4,Process is too complicated,periodic
S00000313,M00003553,2024-05-03,8,3,4,Had to call multiple times,post_digital
S00000314,M00006295,2024-12-21,1,2,4,Had to call multiple times,post_call
S00000315,M00006681,2024-09-20,0,5,2,,periodic
S00000316,M00005790,2024-10-31,5,3,4,Process is too complicated,post_digital
S00000317,M00001701,2024-11-23,5,3,4,"Great service, very helpful",post_call
S00000318,M00008803,2024-06-03,8,3,5,Website is confusing,post_digital
S00000319,M00001386,2023-10-10,4,5,3,,post_call
S00000320,M00004435,2023-08-25,0,3,2,,post_call
S00000321,M00005747,2024-04-07,6,5,5,Website is confusing,periodic
S00000322,M00003430,2024-08-05,5,4,4,Quick and easy,post_call
S00000323,M00004703,2024-01-26,6,3,6,"Great service, very helpful",post_call
S00000324,M00005066,2024-09-02,1,5,1,Too long wait time,post_call
S00000325,M00002261,2023-08-16,4,3,4,"Great service, very helpful",post_digital
S00000326,M00000895,2024-04-23,6,4,5,,post_digital
S00000327,M00000453,2023-12-23,5,2,1,,post_call
S00000328,M00007961,2024-05-02,9,4,4,,post_digital
S00000329,M00004246,2023-01-09,6,3,2,,annual
S00000330,M00009403,2023-05-20,10,2,2,Very satisfied with my plan,post_call
S00000331,M00000004,2024-04-25,7,4,1,Website is confusing,periodic
S00000332,M00004381,2023-11-06,8,4,2,Billing is unclear,post_call
S00000333,M00005815,2023-07-28,9,2,1,Process is too complicated,periodic
S00000334,M00007505,2024-02-13,2,3,4,"Great service, very helpful",post_call
S00000335,M00005735,2023-12-24,4,4,2,Website is confusing,post_call
S00000336,M00009483,2024-05-11,4,4,1,Too long wait time,post_call
S00000337,M00005241,2024-06-21,10,5,1,Quick and easy,periodic
S00000338,M00001684,2024-05-27,2,2,2,Billing is unclear,annual
S00000339,M00007498,2023-08-15,5,5,2,Had to call multiple times,post_call
S00000340,M00008156,2023-03-28,10,3,4,,annual
S00000341,M00006801,2023-10-02,3,5,2,Too long wait time,post_digital
S00000342,M00006762,2023-06-27,2,5,1,,post_digital
S00000343,M00000580,2024-10-02,10,4,3,Too long wait time,periodic
S00000344,M00007002,2023-09-19,6,4,2,,annual
S00000345,M00003322,2024-07-25,7,4,5,Website is confusing,post_digital
S00000346,M00002212,2023-05-12,7,4,5,Very satisfied with my plan,post_call
S00000347,M00002764,2024-03-24,7,3,2,Process is too complicated,post_digital
S00000348,M00002323,2023-01-24,7,3,5,,annual
S00000349,M00002626,2023-09-10,5,4,2,Billing is unclear,periodic
S00000350,M00001656,2024-09-29,7,1,3,,post_digital
S00000351,M00004508,2024-06-05,4,1,3,Very satisfied with my plan,periodic
S00000352,M00007591,2024-04-21,8,5,2,,periodic
S00000353,M00009758,2023-03-22,6,4,2,Too long wait time,post_digital
S00000354,M00002142,2024-08-01,10,2,4,,annual
S00000355,M00002938,2024-05-18,4,4,4,Had to call multiple times,post_digital
S00000356,M00006073,2024-03-04,10,1,3,,post_digital
S00000357,M00000699,2024-10-24,9,4,2,,post_call
S00000358,M00007525,2024-03-10,1,5,5,Billing is unclear,post_call
S00000359,M00003694,2023-01-30,5,1,6,Process is too complicated,post_digital
S00000360,M00007661,2023-11-17,8,3,4,"Great service, very helpful",post_call
S00000361,M00007832,2024-04-06,4,4,7,,post_call
S00000362,M00001560,2023-06-02,9,5,3,Agent was knowledgeable,annual
S00000363,M00007795,2024-08-26,9,5,2,Very satisfied with my plan,post_call
S00000364,M00006108,2023-01-09,9,3,3,Website is confusing,annual
S00000365,M00008473,2024-09-20,8,4,4,,annual
S00000366,M00001062,2023-05-18,8,4,6,,periodic
S00000367,M00001859,2024-09-19,5,3,3,Website is confusing,periodic
S00000368,M00009898,2023-01-06,1,3,5,Had to call multiple times,post_digital
S00000369,M00004765,2023-03-11,7,4,2,,post_digital
S00000370,M00006589,2024-10-29,6,1,1,Too long wait time,post_digital
S00000371,M00008366,2024-03-30,4,3,3,,post_call
S00000372,M00001560,2023-08-03,2,4,5,Very satisfied with my plan,post_digital
S00000373,M00006806,2024-11-17,7,3,3,,periodic
S00000374,M00003548,2024-12-01,8,3,3,Very satisfied with my plan,periodic
S00000375,M00001799,2023-04-22,4,5,3,Had to call multiple times,post_call
S00000376,M00003073,2024-09-07,8,5,4,,post_digital
S00000377,M00003037,2023-08-04,8,4,3,Quick and easy,periodic
S00000378,M00008051,2024-04-02,5,3,2,"Great service, very helpful",post_digital
S00000379,M00004731,2023-10-12,0,3,2,,post_digital
S00000380,M00001039,2023-04-23,5,4,3,Quick and easy,post_call
S00000381,M00000140,2024-07-26,2,3,4,,post_digital
S00000382,M00003398,2023-10-31,7,5,3,,annual
S00000383,M00006772,2024-03-12,1,5,1,Very satisfied with my plan,post_call
S00000384,M00006173,2024-05-04,8,5,5,,post_call
S00000385,M00003523,2023-10-05,8,3,4,Billing is unclear,periodic
S00000386,M00001259,2024-01-16,9,4,1,,post_call
S00000387,M00007525,2023-08-04,7,1,2,,periodic
S00000388,M00008111,2024-05-05,8,3,1,,post_call
S00000389,M00000670,2024-03-11,6,3,3,Process is too complicated,periodic
S00000390,M00005616,2024-09-10,2,5,5,Had to call multiple times,periodic
S00000391,M00007330,2023-04-29,5,3,5,,post_call
S00000392,M00004832,2023-01-22,1,4,2,,post_digital
S00000393,M00001093,2024-03-06,9,2,4,Billing is unclear,post_call
S00000394,M00001218,2024-11-23,4,3,7,Quick and easy,annual
S00000395,M00001367,2023-12-07,6,5,4,Billing is unclear,post_call
S00000396,M00009557,2023-12-16,6,2,4,Website is confusing,post_call
S00000397,M00001450,2023-11-14,8,5,4,,post_digital
S00000398,M00001679,2023-04-20,9,3,6,,periodic
S00000399,M00008082,2023-08-13,8,4,2,Agent was knowledgeable,periodic
S00000400,M00005280,2024-02-11,4,5,5,Could not find what I needed online,periodic
S00000401,M00001188,2024-08-10,8,4,3,,post_call
S00000402,M00009721,2024-07-05,6,5,4,,post_call
S00000403,M00000160,2024-06-21,9,4,5,Process is too complicated,post_digital
S00000404,M00003142,2023-03-13,10,3,7,Quick and easy,post_call
S00000405,M00000389,2024-12-10,8,4,6,Quick and easy,post_call
S00000406,M00006496,2023-08-17,7,5,3,"Great service, very helpful",post_digital
S00000407,M00005835,2023-05-22,10,3,7,Process is too complicated,post_digital
S00000408,M00002136,2023-07-11,8,3,6,Could not find what I needed online,periodic
S00000409,M00007585,2023-08-10,8,3,3,"Great service, very helpful",post_call
S00000410,M00006379,2023-06-16,2,4,4,,post_call
S00000411,M00008797,2023-02-28,5,5,3,,post_digital
S00000412,M00006161,2023-11-01,7,3,7,Website is confusing,post_digital
S00000413,M00007781,2024-08-15,10,2,2,"Great service, very helpful",annual
S00000414,M00004476,2024-10-05,2,4,4,Quick and easy,post_digital
S00000415,M00006802,2023-12-12,0,3,1,Very satisfied with my plan,post_digital
